,Player,Faction,Faction Detachment,Primary,Secondary,Unique Faction List,Chapter,ChapterDetachment,Unique Chapter List,Specialist Name,Pure List?,Wins,Losses,Draws,Games,Avg VP,Avg Oppon VP,Win Percentage,Pure Win Percentage,Games by Primary,Games by Secondary,Games Mono,Primary Wins,Primary Loss,Primary Draw,Win % By Faction,VP by Faction,Opp VP by Faction,Win % By Primary,Win % by Chapter,VP by Primary,Top List,ITC 100,Tournament,Missions,Ruleset,Date
1472,phil tracy,Death Guard,1,1.0,,1.0,Death Guard,1,1.0,,Mono,3,3,0,6,16.0,21.0,0.5,0.5,6.0,,6.0,3.0,3.0,0.0,0.5,16.0,21.0,0.5,0.5,16.0,No,,LVO,ITC,Fall FAQ,2020-01-24
1473,phil tracy,Death Guard,1,,1.0,,Death Guard,1,,,,3,3,0,6,16.0,21.0,0.5,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1474,philip cohn,Iron Hands,1,1.0,,1.0,Iron Hands,1,1.0,,Mono,2,3,0,5,25.0,25.6,0.4,0.4,5.0,,5.0,2.0,3.0,0.0,0.4,25.0,25.6,0.4,0.4,25.0,No,,LVO,ITC,Fall FAQ,2020-01-24
1475,philip cohn,Iron Hands,1,,1.0,,Iron Hands,1,,,,2,3,0,5,25.0,25.6,0.4,,,5.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1476,philip cohn,Iron Hands,1,,1.0,,Iron Hands,1,,,,2,3,0,5,25.0,25.6,0.4,,,5.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1477,philip hall,Imperial Knights,1,1.0,,1.0,House Raven,1,1.0,,,2,4,0,6,21.83,25.17,0.3333333333333333,,6.0,,,2.0,4.0,0.0,0.3333333333333333,21.83,25.17,0.3333333333333333,0.3333333333333333,21.83,No,,LVO,ITC,Fall FAQ,2020-01-24
1478,philip hall,Astra Militarum,1,,1.0,1.0,Catachan,1,1.0,,,2,4,0,6,21.83,25.17,0.3333333333333333,,,6.0,,,,,0.3333333333333333,21.83,25.17,,0.3333333333333333,,No,,LVO,ITC,Fall FAQ,2020-01-24
1479,philip junghans,Iron Hands,1,1.0,,1.0,Iron Hands,1,1.0,,Mono,5,1,0,6,26.833333333333332,22.333333333333332,0.8333333333333334,0.8333333333333334,6.0,,6.0,5.0,1.0,0.0,0.8333333333333334,26.833333333333332,22.333333333333332,0.8333333333333334,0.8333333333333334,26.833333333333332,Yes,,LVO,ITC,Fall FAQ,2020-01-24
1480,philip papayanis,Iron Hands,1,1.0,,1.0,Iron Hands,1,1.0,,Mono,3,3,0,6,22.666666666666668,26.333333333333332,0.5,0.5,6.0,,6.0,3.0,3.0,0.0,0.5,22.666666666666668,26.333333333333332,0.5,0.5,22.666666666666668,No,,LVO,ITC,Fall FAQ,2020-01-24
1481,philip papayanis,Iron Hands,1,,1.0,,Iron Hands,1,,,,3,3,0,6,22.666666666666668,26.333333333333332,0.5,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1482,philip papayanis,Iron Hands,1,,1.0,,Iron Hands,1,,,,3,3,0,6,22.666666666666668,26.333333333333332,0.5,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1483,ramji venkateswaran,Iron Hands,1,1.0,,1.0,Iron Hands,1,1.0,,Mono,3,2,1,6,28.166666666666668,20.0,0.5833333333333334,0.5833333333333334,6.0,,6.0,3.0,2.0,1.0,0.5833333333333334,28.166666666666668,20.0,0.5833333333333334,0.5833333333333334,28.166666666666668,No,,LVO,ITC,Fall FAQ,2020-01-24
1484,raphael kubiak,Orks,1,1.0,,1.0,Bad Moons,1,1.0,,Mono,3,3,0,6,19.666666666666668,23.0,0.5,0.5,6.0,,6.0,3.0,3.0,0.0,0.5,19.666666666666668,23.0,0.5,0.5,19.666666666666668,No,,LVO,ITC,Fall FAQ,2020-01-24
1485,raphael kubiak,Orks,1,,1.0,,Deathskulls,1,1.0,Dread Waagh,,3,3,0,6,19.666666666666668,23.0,0.5,,,6.0,,,,,,,,,0.5,,No,,LVO,ITC,Fall FAQ,2020-01-24
1486,raphael kubiak,Orks,1,,1.0,,Evil Sunz,1,1.0,,,3,3,0,6,19.666666666666668,23.0,0.5,,,6.0,,,,,,,,,0.5,,No,,LVO,ITC,Fall FAQ,2020-01-24
1487,raul guzman,Chaos Space Marines,1,1.0,,1.0,Word Bearers,1,1.0,Daemonkin Ritualists,,1,4,0,5,15.8,29.0,0.2,,5.0,,,1.0,4.0,0.0,0.2,15.8,29.0,0.2,0.2,15.8,No,,LVO,ITC,Fall FAQ,2020-01-24
1488,raul guzman,Chaos Space Marines,1,,1.0,,Alpha Legion,1,1.0,,,1,4,0,5,15.8,29.0,0.2,,,5.0,,,,,,,,,0.2,,No,,LVO,ITC,Fall FAQ,2020-01-24
1489,raymond ahumada,Asuryani,1,1.0,,1.0,Custom Craftworld,1,1.0,,Mono,5,1,0,6,30.666666666666668,14.5,0.8333333333333334,0.8333333333333334,6.0,,6.0,5.0,1.0,0.0,0.8333333333333334,30.666666666666668,14.5,0.8333333333333334,0.8333333333333334,30.666666666666668,Yes,,LVO,ITC,Fall FAQ,2020-01-24
1490,raymond ahumada,Asuryani,1,,1.0,,Custom Craftworld,1,,,,5,1,0,6,30.666666666666668,14.5,0.8333333333333334,,,6.0,,,,,,,,,,,Yes,,LVO,ITC,Fall FAQ,2020-01-24
1491,raymond ahumada,Asuryani,1,,1.0,,Custom Craftworld,1,,,,5,1,0,6,30.666666666666668,14.5,0.8333333333333334,,,6.0,,,,,,,,,,,Yes,,LVO,ITC,Fall FAQ,2020-01-24
1492,red powell,Chaos Space Marines,1,1.0,,1.0,Red Corsairs,1,1.0,Soulforged Pack,Mono,3,1,2,6,29.333333333333332,14.666666666666666,0.6666666666666666,0.6666666666666666,6.0,,6.0,3.0,1.0,2.0,0.6666666666666666,29.333333333333332,14.666666666666666,0.6666666666666666,0.6666666666666666,29.333333333333332,No,,LVO,ITC,Fall FAQ,2020-01-24
1493,red powell,Chaos Space Marines,1,,1.0,,World Eaters,1,1.0,,,3,1,2,6,29.333333333333332,14.666666666666666,0.6666666666666666,,,6.0,,,,,,,,,0.6666666666666666,,No,,LVO,ITC,Fall FAQ,2020-01-24
1494,Reed Sto,Chaos Space Marines,1,1.0,,1.0,Black Legion,1,1.0,,,4,2,0,6,28.5,21.166666666666668,0.6666666666666666,,6.0,,,4.0,2.0,0.0,0.6666666666666666,28.5,21.166666666666668,0.6666666666666666,0.6666666666666666,28.5,No,,LVO,ITC,Fall FAQ,2020-01-24
1495,Reed Sto,Chaos Space Marines,1,,1.0,,Mixed,1,1.0,,,4,2,0,6,28.5,21.166666666666668,0.6666666666666666,,,6.0,,,,,,,,,0.6666666666666666,,No,,LVO,ITC,Fall FAQ,2020-01-24
1496,Reed Sto,Chaos Daemons,1,,1.0,1.0,Khorne,1,1.0,,,4,2,0,6,28.5,21.166666666666668,0.6666666666666666,,,6.0,,,,,0.6666666666666666,28.5,21.166666666666668,,0.6666666666666666,,No,,LVO,ITC,Fall FAQ,2020-01-24
1497,regino sanchez,Iron Hands,1,1.0,,1.0,Iron Hands,1,1.0,,Mono,4,1,1,6,25.0,20.5,0.75,0.75,6.0,,6.0,4.0,1.0,1.0,0.75,25.0,20.5,0.75,0.75,25.0,Yes,,LVO,ITC,Fall FAQ,2020-01-24
1498,regino sanchez,Iron Hands,1,,1.0,,Iron Hands,1,,Indomitus Crusaders,,4,1,1,6,25.0,20.5,0.75,,,6.0,,,,,,,,,,,Yes,,LVO,ITC,Fall FAQ,2020-01-24
